0	0,01764	uhr stube vormittag essen kaffee luise stunde platz wirtschaft fuß küche nachmittags spaß gang achtung briefchen nachmittag betten stirn papier unglück grausamkeit appetit vollendung sage gottlob erstenmal studierstube kanapee wand vögelchen höhe gemahl gast lina rollwenzel übersetzung emma sphärenmusik böhmen ermüdung wirtin walzer thekla singstunde herrmann wegbleiben schattierung miete warmbier 
1	0,005	wangenheim koffer witz visite beifall ministerin saalfeld humor erkenntnis geschöpf sonnabend klengel außenseite ängstlichkeit gewöhnlichkeit musikalien hofmeister vollmacht kommende bruder güte oktav gleichnis weltverbindung zeitverlust langweilige loretto sphinx lebens-moment riesenkraft unrat schlamm vernunft-religion lydia urchristentum hierarchie unheilige unwesentliche klotilde myra niedertreten lebensmelodie emsigkeit briefchaos regenbogenstraße zauberschlüssel wachs themis rosen-gärtnerin strecke 
2	0,00378	undine tod fresenius verfasser jüngling rezension graf corona rüstung grimm rektor freitag aniello zauberring darmstadt ross adresse jung gemahlin landsmann akt frankenland diamant sigurd zeitkranz gotteswille legende list bernhard sänger stolberg rezensent besitzer rathaus wehmut paris durchlesung atemzug absendung freude dahinschweben trompetenklang freundesrechte camacho don mira amar trug raimarsch eichstadt 
3	0,00767	bild stück morgenblatt tümpel minchen teufel segen haug naht portefeuille freundschaft angst angedenken flachs antlitz magd glück iphigenie sinngedicht drucker striemen diamant männerherz krallen händedruck gedeck tier tausendmalen kessler zorn nachsicht ewr produkt reck wiederlesen klempnerarbeit sole krankheitsstoff pauken blutsverwandte druckerschwärze dieb bittbrief xenien bonndorf kunstgeschäft osterkonfirmation verführung diamantgrube zionsberg 
4	0,07293	vater mutter brief max emma otto münchen sohn mensch gott odilie heidelberg schwester emanuel gruß all leute eltern geld briefchen student arbeiten freude voß bitte berlin schelling eile fl schlichtegroll theater feuerbach professor familie reizenstein freitag wetter weihnachten schreibe großvater voss stoff herder erlangen paket heiterkeit fräulein großmutter umgang blättchen 
5	0,03481	zeitung blatt welt abdruck blättern publikum ew aufsatz art hochwürden künstler beitrag redaktion ehre rezension verlagshandlung zeitschrift journal mitarbeiter all voss name kupfer überzeugung handlung hofrat notiz anzahl redakteur verfasser adresse buchhandlung merkur verlangen honorar herausgeber lektüre platz ausdruck kosten rede stück ankündigung verbindlichkeit anekdote korrespondent mode ausflucht kunst institut 
6	0,00678	reimer rtl kontrakt hr selige entschluss ring unterhandlung erden buchhändler vorsicht max antritt wunder dritte scheidung transport vaterland kraft unklugheit unzartheit geschäftsbehandlung gesamt-ausgabe weinkeller geneigtheit naturleben gratulation mädel widerlegung originalität neumann ermahnen donnerschlag chiffre veränderlichkeit korrespondent zeitungsteufel nachkomme ausweg flüchtigkeit zittau desfall prozedur jugendzeit hessen-darmstadt nacheiferung liebchen drüsenschärfe expectoration zeichner 
7	0,00578	eduard acht kanone käufer hochverehrte rahel schachtel lehren unterricht küche un ruhestätte pohl fürth wirthaus urania frohberg held reuter koch taler gefahr augsburg halle henkel wiedersehens-hoffnung gloriesein engelsgestalten blütenblatt grabhügel hingeschiedene gotteshaus wolkenschleier nacheste bleimann kerl persiflage schattenmann infanterist kavallerie infanterie kriegsmann dankopfer haupteindruck blei heliotrope unvermögen kindliche körperschmerz erfindung 
8	0,01264	könig königin altenstein nachricht fichte oper rückkunft fürst s.w vat minister kontrast schmähung resolution george dienst charakter schwert görres humboldt pflichtteil menschenkind epoche anwandlung sand promenade monarch ruf besorgnis lob norden dritte tee all dame prinzessin gr hauptsänger riesenfuß metzger mietglied abbildung bacon spiegelzimmer stiege musikunterhaltung selbsttäuschung münchner-gesang schulgelehrsamkeit ova 
9	0,05568	emanuel richter henriette antonie amanda liebe herz kind mutter pauline caroline gott schwester freundin leopold geliebte freundschaft bayreuth reise freund wesen wort gatte himmel zeit reinhold opfer graf sinn augenblick liebling überzeugung kraft schwager verhältnis schmerz sohn geschwister bayreuther kummer tochter treue nähe gruß gattin hoffnung weiblichkeit brust feder erde 
